"GEO_ID","NAME","P3_001N","P3_002N","P3_003N","P3_004N","P3_005N","P3_006N","P3_007N","P3_008N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!White alone"," !!Total:!!Black or African American alone"," !!Total:!!American Indian and Alaska Native alone"," !!Total:!!Asian alone"," !!Total:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Some Other Race alone"," !!Total:!!Two or More Races",
"860Z200US01473","ZCTA5 01473","8213","7487","93","12","94","0","136","391",
"860Z200US01474","ZCTA5 01474","2072","1857","6","2","25","0","25","157",
"860Z200US01475","ZCTA5 01475","10304","9146","143","10","139","2","183","681",
"860Z200US01501","ZCTA5 01501","16731","14524","303","19","548","0","315","1022",
"860Z200US01503","ZCTA5 01503","3158","2822","18","4","38","3","47","226",
"860Z200US01504","ZCTA5 01504","9208","8349","94","11","101","1","146","506",
"860Z200US01505","ZCTA5 01505","4849","4235","30","8","250","0","72","254",
"860Z200US01506","ZCTA5 01506","3439","3168","22","7","18","0","22","202",
"860Z200US01507","ZCTA5 01507","13315","12205","133","20","146","3","146","662",
"860Z200US01510","ZCTA5 01510","15428","11359","431","138","248","2","1320","1930",
"860Z200US01515","ZCTA5 01515","2224","2037","21","1","35","0","26","104",
"860Z200US01516","ZCTA5 01516","8962","8226","59","9","86","3","108","471",
"860Z200US01518","ZCTA5 01518","3176","2806","45","9","69","1","53","193",
"860Z200US01519","ZCTA5 01519","7254","6165","109","7","403","0","110","460",
"860Z200US01520","ZCTA5 01520","16394","14366","367","26","609","2","218","806",
"860Z200US01521","ZCTA5 01521","2603","2406","15","8","30","0","25","119",
"860Z200US01522","ZCTA5 01522","3464","3055","50","2","86","0","52","219",
"860Z200US01523","ZCTA5 01523","8377","6489","592","24","150","0","216","906",
"860Z200US01524","ZCTA5 01524","6621","5652","187","26","164","1","168","423",
"860Z200US01525","ZCTA5 01525","73","66","0","0","0","0","0","7",
"860Z200US01527","ZCTA5 01527","13799","11920","364","20","447","5","221","822",
"860Z200US01529","ZCTA5 01529","3174","2949","27","0","26","0","34","138",
"860Z200US01531","ZCTA5 01531","996","943","4","1","4","0","8","36",
"860Z200US01532","ZCTA5 01532","15741","12074","228","26","1866","4","365","1178",
"860Z200US01534","ZCTA5 01534","6233","5538","83","6","94","1","123","388",
"860Z200US01535","ZCTA5 01535","4735","4334","32","16","30","0","55","268",
"860Z200US01536","ZCTA5 01536","7514","6070","173","5","689","1","162","414",
